序号,单词,词性,音标,中文意思,简易英文例句,主题
1883,whichever,pron./adj.,/wɪtʃˈevə(r)/,无论哪一个,Pick whichever you prefer.,语言、逻辑与哲学
1884,while,conj./n.,/waɪl/,当…时；一会儿,Wait while it processes.,科技、网络与现代生活
1885,whilst,conj.,/waɪlst/,当…时,Use caution whilst testing.,科技、网络与现代生活
1886,whip,v./n.,/wɪp/,鞭打,He whipped the horse.,自然、环境与航天
1887,whirl,v./n.,/wɜːl/,旋转,The motor whirled loudly.,科技、网络与现代生活
1888,whisker,n.,/ˈwɪskə(r)/,胡须,The cat has long whiskers.,自然、环境与航天
1889,whisper,v./n.,/ˈwɪspə(r)/,耳语,He whispered the password.,人际关系与社交
1890,whistle,v./n.,/ˈwɪsl/,吹哨；哨子,He blew the whistle.,文学、艺术与娱乐
1891,white,adj./n.,/waɪt/,白色的,The screen is white.,科技、网络与现代生活
1892,who,pron.,/huː/,谁,Who updated the code?,人际关系与社交
1893,whoever,pron.,/huːˈevə(r)/,无论谁,Whoever finds the bug gets a prize.,人际关系与社交
1894,whole,adj./n.,/həʊl/,全部的,The whole system is down.,科技、网络与现代生活
1895,wholesale,n./adj.,/ˈhəʊlseɪl/,批发,Buy components wholesale.,经济、商务与财政
1896,wholesome,adj.,/ˈhəʊlsəm/,有益健康的,A wholesome diet.,生活、饮食与健康
1897,wholly,adv.,/ˈhəʊlli/,完全地,It is wholly unnecessary.,科技、网络与现代生活
1898,whom,pron.,/huːm/,谁 (宾格),To whom should I report?,职场、工作与生涯规划
1899,whose,pron./adj.,/huːz/,谁的,Whose laptop is this?,人际关系与社交
1900,why,adv./n.,/waɪ/,为什么,Why did the test fail?,科技、网络与现代生活
1901,wicked,adj.,/ˈwɪkɪd/,邪恶的,A wicked computer virus.,科技、网络与现代生活
1902,wide,adj./adv.,/waɪd/,宽的,The network covers a wide area.,科技、网络与现代生活
1903,widely,adv.,/ˈwaɪdli/,广泛地,Python is widely used.,科技、网络与现代生活
1904,widen,v.,/ˈwaɪdn/,变宽,Widen the data pipeline.,科技、网络与现代生活
1905,widespread,adj.,/ˈwaɪdspred/,分布广泛的,A widespread system error.,科技、网络与现代生活
1906,widow,n.,/ˈwɪdəʊ/,寡妇,The widow lives nearby.,历史、社会与政治
1907,width,n.,/wɪdθ/,宽度,The width of the text box.,科技、网络与现代生活
1908,wield,v.,/wiːld/,挥舞；运用,He wields great power.,职场、工作与生涯规划
1909,wife,n.,/waɪf/,妻子,His wife is an engineer.,人际关系与社交
1910,wild,adj./n.,/waɪld/,野生的；狂野的,Wild animals in the forest.,自然、环境与航天
1911,wilderness,n.,/ˈwɪldənəs/,荒野,The trek through the wilderness.,自然、环境与航天
1912,wildlife,n.,/ˈwaɪldlaɪf/,野生动植物,Protect the local wildlife.,自然、环境与航天
1913,will,modal v./n.,/wɪl/,将；意志,I will run the test.,科技、网络与现代生活
1914,willing,adj.,/ˈwɪlɪŋ/,乐意的,He is willing to help.,个人情况与情感
1915,willingly,adv.,/ˈwɪlɪŋli/,乐意地,They shared logs willingly.,个人情况与情感
1916,willingness,n.,/ˈwɪlɪŋnəs/,乐意,His willingness to learn is great.,个人情况与情感
1917,willow,n.,/ˈwɪləʊ/,柳树,The willow tree is by the lake.,自然、环境与航天
1918,win,v./n.,/wɪn/,赢；胜利,We win the competition.,职场、工作与生涯规划
1919,wind,n./v.,/wɪnd/,风；缠绕,The wind speed is high.,自然、环境与航天
1920,window,n.,/ˈwɪndəʊ/,窗户,Close the browser window.,科技、网络与现代生活
1921,windy,adj.,/ˈwɪndi/,多风的,It is a windy day.,自然、环境与航天
1922,wine,n.,/waɪn/,葡萄酒,A glass of red wine.,生活、饮食与健康
1923,wing,n.,/wɪŋ/,翅膀,The plane's wing is stable.,自然、环境与航天
1924,wink,v./n.,/wɪŋk/,眨眼,He winked at me.,人际关系与社交
1925,winner,n.,/ˈwɪnə(r)/,胜利者,The winner gets the prize.,职场、工作与生涯规划
1926,winter,n.,/ˈwɪntə(r)/,冬季,The winter is very cold.,自然、环境与航天
1927,wipe,v./n.,/waɪp/,擦拭,Wipe the cache clean.,科技、网络与现代生活
1928,wire,n./v.,/ˈwaɪə(r)/,金属线；接线,Connect the copper wire.,科技、网络与现代生活
1929,wireless,adj.,/ˈwaɪələs/,无线的,The wireless network is down.,科技、网络与现代生活
1930,wisdom,n.,/ˈwɪzdəm/,智慧,The wisdom of the team.,语言、逻辑与哲学
1931,wise,adj.,/waɪz/,明智的,A wise decision on architecture.,语言、逻辑与哲学
1932,wish,v./n.,/wɪʃ/,希望,I wish the build succeeds.,个人情况与情感
1933,wit,n.,/wɪt/,风趣；智慧,He has a sharp wit.,个人情况与情感
1934,witch,n.,/wɪtʃ/,女巫,Witches in stories.,文学、艺术与娱乐
1935,with,prep.,/wɪð/,用；随着,Compile with C++.,科技、网络与现代生活
1936,withdraw,v.,/wɪðˈdrɔː/,撤回；取款,Withdraw the software update.,经济、商务与财政
1937,withdrawal,n.,/wɪðˈdrɔːəl/,撤回；取款,The withdrawal was successful.,经济、商务与财政
1938,wither,v.,/ˈwɪðə(r)/,枯萎,The plants withered away.,自然、环境与航天
1939,within,prep./adv.,/wɪˈðɪn/,在…之内,Result within the range.,科技、网络与现代生活
1940,without,prep.,/wɪˈðaʊt/,没有,"Without logs, it is hard.",科技、网络与现代生活
1941,withstand,v.,/wɪðˈstænd/,承受,The part withstands heat.,科技、网络与现代生活
1942,witness,n./v.,/ˈwɪtnəs/,目击者；见证,Witness the new launch.,历史、社会与政治
1943,witty,adj.,/ˈwɪti/,风趣的,A witty response.,个人情况与情感
1944,wolf,n.,/wʊlf/,狼,The wolf lives in the wild.,自然、环境与航天
1945,woman,n.,/ˈwʊmən/,妇女,The woman is the project leader.,人际关系与社交
1946,wonder,v./n.,/ˈwʌndə(r)/,感到疑惑；奇迹,I wonder if it works.,个人情况与情感
1947,wonderful,adj.,/ˈwʌndəfl/,极好的,A wonderful idea.,个人情况与情感
1948,wood,n.,/wʊd/,木材,Made of natural wood.,自然、环境与航天
1949,wooden,adj.,/ˈwʊdn/,木制的,A wooden structure.,生活、饮食与健康
1950,woodland,n.,/ˈwʊdlənd/,林地,Protect the woodland.,自然、环境与航天
1951,wool,n.,/wʊl/,羊毛,A warm wool coat.,生活、饮食与健康
1952,word,n.,/wɜːd/,单词；承诺,Check every word.,语言、逻辑与哲学
1953,work,n./v.,/wɜːk/,工作,Get to work immediately.,职场、工作与生涯规划
1954,workbook,n.,/ˈwɜːkbʊk/,练习册,Follow the workbook.,学校生活与教育
1955,worker,n.,/ˈwɜːkə(r)/,工人,The workers are efficient.,职场、工作与生涯规划
1956,workforce,n.,/ˈwɜːkfɔːs/,劳动力,A skilled workforce.,经济、商务与财政
1957,working,adj./n.,/ˈwɜːkɪŋ/,工作的,The working condition is good.,职场、工作与生涯规划
1958,workload,n.,/ˈwɜːkləʊd/,工作量,The workload is manageable.,职场、工作与生涯规划
1959,workman,n.,/ˈwɜːkmən/,技工,The workman fixed the pipe.,职场、工作与生涯规划
1960,workout,n.,/ˈwɜːkaʊt/,锻炼,A daily workout.,生活、饮食与健康
1961,workshop,n.,/ˈwɜːkʃɒp/,研讨会；车间,Attend the AI workshop.,学校生活与教育
1962,world,n.,/wɜːld/,世界,Connect the world.,历史、社会与政治
1963,worldwide,adj./adv.,/ˌwɜːldˈwaɪd/,遍及全球的,A worldwide network.,科技、网络与现代生活
1964,worm,n.,/wɜːm/,虫；蠕虫病毒,The worm infected the files.,科技、网络与现代生活
1965,worn,adj.,/wɔːn/,磨损的,The worn belt was replaced.,科技、网络与现代生活
1966,worried,adj.,/ˈwʌrid/,担心的,Don't be worried about errors.,个人情况与情感
1967,worry,v./n.,/ˈwʌri/,担心,Worrying doesn't help.,个人情况与情感
1968,worse,adj./adv.,/wɜːs/,更坏的,The situation got worse.,科技、网络与现代生活
1969,worship,n./v.,/ˈwɜːʃɪp/,崇拜,"Respect, not worship.",语言、逻辑与哲学
1970,worst,adj./adv.,/wɜːst/,最坏的,This is the worst case.,科技、网络与现代生活
1971,worth,adj./n.,/wɜːθ/,值得,It is worth the effort.,经济、商务与财政
1972,worthless,adj.,/ˈwɜːθləs/,无价值的,Corrupted data is worthless.,科技、网络与现代生活
1973,worthwhile,adj.,/ˌwɜːθˈwaɪl/,值得做的,A worthwhile project.,职场、工作与生涯规划
1974,worthy,adj.,/ˈwɜːði/,有价值的,A worthy goal.,职场、工作与生涯规划
1975,would,modal v.,/wʊd/,将；会,It would work well.,语言、逻辑与哲学
1976,wound,n./v.,/wuːnd/,伤口；受伤,The wound is healing.,生活、饮食与健康
1977,wrap,v./n.,/ræp/,包裹,Wrap the parts carefully.,科技、网络与现代生活
1978,wrestle,v.,/ˈresl/,摔跤；奋斗,Wrestle with the problem.,职场、工作与生涯规划
1979,wrestling,n.,/ˈreslɪŋ/,摔跤,He loves wrestling.,文学、艺术与娱乐
1980,wrinkle,n./v.,/ˈrɪŋkl/,皱纹；弄皱,Iron out the wrinkles.,生活、饮食与健康
1981,wrist,n.,/rɪst/,手腕,Wrist support is important.,生活、饮食与健康
1982,write,v.,/raɪt/,写,Write the report.,学校生活与教育
1983,writer,n.,/ˈraɪtə(r)/,作者,The writer is famous.,文学、艺术与娱乐
1984,writing,n.,/ˈraɪtɪŋ/,写作,Clear technical writing.,语言、逻辑与哲学
1985,wrong,adj./adv.,/rɒŋ/,错误的,Something went wrong.,科技、网络与现代生活
1986,X-ray,n.,/ˈeks reɪ/,X光,The X-ray shows a crack.,生活、饮食与健康
1987,xenon,n.,/ˈzenɒn/,氙,Xenon is a noble gas.,自然、环境与航天
1988,xerox,v./n.,/ˈzɪərɒks/,复印,Xerox the document.,学校生活与教育
1989,Xmas,n.,/ˈkrɪsməs/,圣诞节,Merry Xmas to the team.,文学、艺术与娱乐
1990,yacht,n.,/jɒt/,游艇,A luxurious yacht.,文学、艺术与娱乐
1991,yard,n.,/jɑːd/,院子；码,The yard is clean.,自然、环境与航天
1992,yawn,v./n.,/jɔːn/,打哈欠,He yawned from tiredness.,生活、饮食与健康
1993,year,n.,/jɪə(r)/,年,The fiscal year ends.,经济、商务与财政
1994,yearly,adj./adv.,/ˈjɪəli/,每年的,Yearly audit is required.,经济、商务与财政
1995,yearn,v.,/jɜːn/,渴望,Yearn for innovation.,个人情况与情感
1996,yell,v./n.,/jel/,叫喊,Don't yell at teammates.,人际关系与社交
1997,yellow,adj./n.,/ˈjeləʊ/,黄色的,Yellow status warning.,科技、网络与现代生活
1998,yes,adv.,/jes/,是,"Yes, it is fixed.",人际关系与社交
1999,yesterday,adv./n.,/ˈjestədeɪ/,昨天,Tested yesterday.,科技、网络与现代生活
2000,yet,adv./conj.,/jet/,还；然而,Not yet completed.,科技、网络与现代生活
2001,yield,v./n.,/jiːld/,出产；让步,High yield of data.,科技、网络与现代生活
2002,yoga,n.,/ˈjəʊɡə/,瑜伽,Yoga for health.,生活、饮食与健康
2003,yoghurt,n.,/ˈjɒɡət/,酸奶,Healthy yoghurt snack.,生活、饮食与健康
2004,yolk,n.,/jəʊk/,蛋黄,The egg yolk is fresh.,生活、饮食与健康
2005,you,pron.,/juː/,你,You are the developer.,人际关系与社交
2006,young,adj.,/jʌŋ/,年轻的,A young engineer.,个人情况与情感
2007,youngster,n.,/ˈjʌŋstə(r)/,年轻人,A talented youngster.,人际关系与社交
2008,your,pron.,/jɔː(r)/,你们的,Your code is efficient.,人际关系与社交
2009,yours,pron.,/jɔːz/,你们的,The success is yours.,人际关系与社交
2010,yourself,pron.,/jɔːˈself/,你自己,Test it yourself.,人际关系与社交
2011,youth,n.,/juːθ/,青春；青年时期,The energy of youth.,个人情况与情感
2012,youthful,adj.,/ˈjuːθfl/,年轻的,A youthful perspective.,个人情况与情感
2013,zeal,n.,/ziːl/,热情,Work with zeal.,个人情况与情感
2014,zealous,adj.,/ˈzeləs/,热心的,A zealous supporter.,人际关系与社交
2015,zebra,n.,/ˈzebrə/,斑马,Zebra in the wild.,自然、环境与航天
2016,zero,num./n.,/ˈzɪərəʊ/,零,Zero error tolerance.,科技、网络与现代生活
2017,zest,n.,/zest/,热情；风味,Work with zest.,个人情况与情感
2018,zinc,n.,/zɪŋk/,锌,Zinc is a metal.,自然、环境与航天
2019,zip,n./v.,/zɪp/,拉链；压缩,Zip the log files.,科技、网络与现代生活
2020,zipper,n.,/ˈzɪpə(r)/,拉链,The zipper is stuck.,生活、饮食与健康
2021,zone,n.,/zəʊn/,区域,The secure zone.,科技、网络与现代生活
2022,zoo,n.,/zuː/,动物园,Visit the zoo.,文学、艺术与娱乐
2023,zoom,v./n.,/zuːm/,变焦；快速移动,Zoom into the chart.,科技、网络与现代生活
