序号,单词,词性,音标,中文意思,简易英文例句,主题
42,acre,n.,/ˈeɪkə(r)/,英亩,The farmer owns fifty acres of land here.,自然、环境与航天
43,across,prep./adv.,/əˈkrɒs/,横过，穿过,They walked carefully across the busy street.,空间定位与方向
44,act,v./n.,/ækt/,行动；表演；法令,We must act immediately to stop pollution.,科技、网络与现代生活
45,action,n.,/ˈækʃn/,行动；活动,Actions speak much louder than words.,个人情况与情感
46,active,adj.,/ˈæktɪv/,积极的，活跃的,He takes an active part in school sports.,学校生活与教育
47,activity,n.,/ækˈtɪvəti/,活动,The school offers various outdoor activities.,学校生活与教育
48,actor,n.,/ˈæktə(r)/,男演员,He is a famous film actor in China.,文学、艺术与娱乐
49,actress,n.,/ˈæktrəs/,女演员,She won the best actress award yesterday.,文学、艺术与娱乐
50,actual,adj.,/ˈæktʃuəl/,实际的，真实的,What is the actual cost of the program?,经济、商务与财政
51,acute,adj.,/əˈkjuːt/,剧烈的；敏锐的,He suffered from acute pain in his back.,饮食、健康与运动
52,AD,n.,/ˌeɪ ˈdiː/,公元,The castle was built in 1066 AD.,历史、社会与政治
53,adapt,v.,/əˈdæpt/,适应；改编,You must adapt to the fast college life.,学校生活与教育
54,adaptation,n.,/ˌædæpˈteɪʃn/,适应；改编本,The film is an adaptation of a famous novel.,文学、艺术与娱乐
55,add,v.,/æd/,增加；补充说,"If you add 3 to 5, you get 8.",学校生活与教育
56,addicted,adj.,/əˈdɪktɪd/,上瘾的，沉迷的,Many youths are addicted to computer games.,科技、网络与现代生活
57,addition,n.,/əˈdɪʃn/,增加；加法,"In addition, we need to buy some fresh milk.",语言、逻辑与哲学
58,address,n./v.,/əˈdres/,地址；演讲；解决,Please write down your current home address.,人际关系与社交
59,adequate,adj.,/ˈædɪkwət/,充足的，适当的,The water supply is adequate for the village.,自然、环境与航天
60,adjust,v.,/əˈdʒʌst/,调整，调节,It took time to adjust to the cold weather.,自然、环境与航天
61,adjustment,n.,/əˈdʒʌstmənt/,调整，调节,He made an adjustment to the camera lens.,科技、网络与现代生活
62,administration,n.,/ədˌmɪnɪˈstreɪʃn/,管理；行政,She works in the school administration office.,学校生活与教育
63,admirable,adj.,/ˈædmərəbl/,令人钦佩的,Her dedication to the work is admirable.,个人情况与情感
64,admire,v.,/ədˈmaɪə(r)/,钦佩，羡慕,I admire him for his great courage and honesty.,个人情况与情感
65,admission,n.,/ədˈmɪʃn/,准许进入；入场费,He gained admission to Hangzhou University.,学校生活与教育
66,admit,v.,/ədˈmɪt/,承认；准许进入,He admitted taking the money by mistake.,语言、逻辑与哲学
67,adolescence,n.,/ˌædəˈlesns/,青春期,Adolescence is a period of rapid changes.,个人情况与情感
68,adolescent,n./adj.,/ˌædəˈlesnt/,青少年；青春期的,The book is written for modern adolescents.,个人情况与情感
69,adopt,v.,/əˈdɒpt/,采用；收养,The school decided to adopt a new textbook.,学校生活与教育
70,adore,v.,/əˈdɔː(r)/,热爱；崇拜,She adores her children and takes good care.,人际关系与社交
71,adult,n./adj.,/ˈædʌlt/,成年人；成熟的,An adult ticket costs ten dollars here.,人际关系与社交
72,advance,v./n.,/ədˈvɑːns/,前进；进步,Technology has made great advance recently.,科技、网络与现代生活
73,advanced,adj.,/ədˈvɑːnst/,高级的；先进的,He is studying advanced mathematics now.,学校生活与教育
74,advantage,n.,/ədˈvɑːntɪdʒ/,优势；利益,Living in a city has many advantages.,旅游、交通与综合高频
75,adventure,n.,/ədˈventʃə(r)/,冒险；奇遇,The boys are looking for an exciting adventure.,文学、艺术与娱乐
76,advertise,v.,/ˈædvətaɪz/,为...做广告,They advertise their products on television.,经济、商务与财政
77,advertisement,n.,/ədˈvɜːtɪsmənt/,广告,I saw an advertisement for a new smartphone.,经济、商务与财政
78,advice,n.,/ədˈvaɪz/,建议，劝告,My teacher gave me some useful advice.,学校生活与教育
79,advise,v.,/ədˈvaɪz/,建议，忠告,The doctor advised me to take more rest.,饮食、健康与运动
80,advocate,v./n.,/ˈædvəkeɪt/,提倡；主张者,He advocates protecting the wild animals.,自然、环境与航天
81,affair,n.,/əˈfeə(r)/,事务；事情,International affairs are complex to handle.,历史、社会与政治
82,affect,v.,/əˈfekt/,影响；感动,The heavy rain will affect the crop yield.,自然、环境与航天
83,affection,n.,/əˈfekʃn/,喜爱；感情,She has deep affection for her old school.,个人情况与情感
84,afford,v.,/əˈfɔːd/,买得起；抽得出时间,I can't afford to buy such an expensive car.,经济、商务与财政
85,afraid,adj.,/əˈfreɪd/,害怕的；担心的,Don't be afraid of making mistakes.,个人情况与情感
86,after,prep./conj.,/ˈɑːftə(r)/,在...之后,We went for a walk after having dinner.,时间概念与序列
87,afternoon,n.,/ˌɑːftəˈnuːn/,下午,The football match starts in the afternoon.,时间概念与序列
88,afterward,adv.,/ˈɑːftəwəd/,后来，以后,He left school and joined the army afterward.,时间概念与序列
89,again,adv.,/əˈɡen/,再一次，又,Please read the text again carefully.,语言、逻辑与哲学
90,against,prep.,/əˈɡenst/,反对；逆着；靠着,Our team played against their team yesterday.,饮食、健康与运动
91,age,n./v.,/eɪdʒ/,年龄；时代,He left home at the age of eighteen.,人际关系与社交
92,agency,n.,/ˈeɪdʒənsi/,代理处；机构,We bought the tour tickets from a travel agency.,旅游、交通与综合高频
93,agenda,n.,/əˈdʒendə/,议事日程,What's the next item on the meeting agenda?,职场、工作与生涯规划
94,agent,n.,/ˈeɪdʒənt/,代理人；经纪人,The real estate agent showed us three houses.,经济、商务与财政
95,aggressive,adj.,/əˈɡresɪv/,好斗的；进取的,An aggressive salesman keeps calling me.,职场、工作与生涯规划
96,ago,adv.,/əˈɡəʊ/,以前,The famous writer died many years ago.,时间概念与序列
97,agree,v.,/əˈɡriː/,同意；赞成,I completely agree with your suggestion.,人际关系与社交
98,agreement,n.,/əˈɡriːmənt/,协议；一致,They finally reached a signed agreement.,历史、社会与政治
99,agricultural,adj.,/ˌæɡrɪˈkʌltʃərəl/,农业的,China is making great agricultural progress.,自然、环境与航天
100,agriculture,n.,/ˈæɡrɪkʌltʃə(r)/,农业,Water is essential for local agriculture.,自然、环境与航天
101,baby,n.,/ˈbeɪbi/,婴儿,The baby is sleeping peacefully in the bed.,人际关系与社交
102,bachelor,n.,/ˈbætʃələ(r)/,学士；单身汉,He got a bachelor degree in computer science.,学校生活与教育
103,back,adv./n./adj.,/bæk/,向后；后面；背部,He hurt his back while moving the motor.,饮食、健康与运动
104,background,n.,/ˈbækɡraʊnd/,背景,The photographer blurred the background scene.,文学、艺术与娱乐
105,backward,adv./adj.,/ˈbækwəd/,向后；落后的,He took a backward step to avoid the mud.,空间定位与方向
106,bacon,n.,/ˈbeɪkən/,培根，熏猪肉,I like eggs and bacon for breakfast.,饮食、健康与运动
107,bacteria,n.,/bækˈtɪəriə/,细菌,Wash your hands to remove harmful bacteria.,饮食、健康与运动
108,bad,adj.,/bæd/,坏的；恶劣的,Smoking is a very bad habit for health.,饮食、健康与运动
109,badge,n.,/bædʒ/,徽章；证章,All employees must wear their name badges.,职场、工作与生涯规划
110,badly,adv.,/ˈbædli/,糟糕地；严重地,The car was badly damaged in the crash.,旅游、交通与综合高频
111,badminton,n.,/ˈbædmɪntən/,羽毛球,Playing badminton is my favorite exercise.,饮食、健康与运动
112,bag,n.,/bæɡ/,袋；包,She carried a school bag on her back.,学校生活与教育
113,baggage,n.,/ˈbæɡɪdʒ/,行李,You can check your heavy baggage here.,旅游、交通与综合高频
114,bake,v.,/beɪk/,烘，烤,My mother is baking fresh bread now.,饮食、健康与运动
115,bakery,n.,/ˈbeɪkəri/,面包店,The bakery down the street smells great.,饮食、健康与运动
116,balance,n./v.,/ˈbæləns/,平衡,We need to maintain a balance between work and life.,饮食、健康与运动
117,balcony,n.,/ˈbælkəni/,阳台,There are beautiful flowers on the balcony.,空间定位与方向
118,ball,n.,/bɔːl/,球；舞会,He kicked the ball into the empty goal.,饮食、健康与运动
119,ballet,n.,/ˈbæleɪ/,芭蕾舞,She has been practicing ballet since six.,文学、艺术与娱乐
120,balloon,n.,/bəˈluːn/,气球,The children are playing with red balloons.,文学、艺术与娱乐
121,bamboo,n.,/ˌbæmˈbuː/,竹，竹子,Pandas live mainly on fresh bamboo leaves.,自然、环境与航天
122,ban,v./n.,/bæn/,禁止；禁令,The government decided to ban smoking in public.,历史、社会与政治
123,banana,n.,/bəˈnɑːnə/,香蕉,Bananas are rich in potassium and vitamins.,饮食、健康与运动
124,band,n.,/bænd/,乐队；带子,The school rock band will perform tonight.,文学、艺术与娱乐
125,bandage,n.,/ˈbændɪdʒ/,绷带,The nurse put a clean bandage on his arm.,饮食、健康与运动
126,bang,v./n.,/bæŋ/,猛击；砰砰声,The door closed with a loud bang.,旅游、交通与综合高频
127,bank,n.,/bæŋk/,银行；岸，堤,He deposited some money in the local bank.,经济、商务与财政
128,bankrupt,adj./v.,/ˈbæŋkrʌpt/,破产的,The small company went bankrupt last month.,经济、商务与财政
129,banner,n.,/ˈbænə(r)/,旗帜；横幅,They carried a big banner during the campaign.,学校生活与教育
130,banquet,n.,/ˈbæŋkwɪt/,宴会，盛宴,A grand banquet was held to welcome guests.,人际关系与社交
131,bar,n.,/bɑː(r)/,条，块；酒吧；栅栏,He bought a bar of dark chocolate.,饮食、健康与运动
132,barbecue,n./v.,/ˈbɑːbɪkjuː/,户外烧烤,We had a wonderful barbecue in the park.,人际关系与社交
133,barber,n.,/ˈbɑːbə(r)/,理发师,The barber cut my hair very quickly.,人际关系与社交
134,bare,adj.,/beə(r)/,赤裸的；仅仅的,Don't walk on the cold floor with bare feet.,个人情况与情感
135,barely,adv.,/ˈbeəli/,仅仅；几乎不,He could barely hear what the teacher said.,语言、逻辑与哲学
136,bargain,n./v.,/ˈbɑːɡən/,便宜货；讨价还价,The dress is a real bargain at this price.,经济、商务与财政
137,bark,v./n.,/bɑːk/,狗叫；树皮,The dog kept barking at the stranger.,自然、环境与航天
138,barrier,n.,/ˈbæriə(r)/,障碍，壁垒,Language can be a barrier to communication.,自然、环境与航天
139,base,n./v.,/beɪs/,基础；以...为基地,This theory is based on scientific research.,学校生活与教育
140,baseball,n.,/ˈbeɪsbɔːl/,棒球,Baseball is very popular in America.,饮食、健康与运动
141,basement,n.,/ˈbeɪsmənt/,地下室,We store our old bicycles in the basement.,空间定位与方向
142,basic,adj.,/ˈeɪsɪk/,基础的，基本的,Food and water are basic human needs.,语言、逻辑与哲学
143,basin,n.,/ˈbeɪsn/,水盆；流域,Please wash the apples in the basin.,饮食、健康与运动
144,basis,n.,/ˈbeɪsɪs/,基础；根据,We meet on a regular basis to discuss plans.,语言、逻辑与哲学
145,basket,n.,/ˈbɑːskɪt/,篮子,She put the fresh eggs into the basket.,饮食、健康与运动
146,basketball,n.,/ˈbɑːskɪtbl/,篮球,He loves playing basketball after school.,饮食、健康与运动
147,bat,n.,/bæt/,蝙蝠；球拍,Bats usually hunt for food at night.,自然、环境与航天
148,bath,n.,/bɑːθ/,洗澡；浴缸,He likes to take a hot bath after work.,饮食、健康与运动
149,bathe,v.,/beɪð/,洗澡；游泳,The children are bathing in the shallow river.,饮食、健康与运动
150,bathroom,n.,/ˈbɑːθruːm/,浴室；洗手间,"Excuse me, where is the nearest bathroom?",空间定位与方向
151,battery,n.,/ˈbætri/,电池,My smartphone is running out of battery.,科技、网络与现代生活
152,battle,n./v.,/ˈbæt l/,战役；战斗,The soldiers fought bravely in the battle.,历史、社会与政治
153,bay,n.,/beɪ/,海湾,The hotel looks out over a beautiful bay.,旅游、交通与综合高频
154,BC,n.,/ˌbiː ˈsiː/,公元前,The philosopher was born in 400 BC.,历史、社会与政治
155,be,v.,/biː/,是；成为；存在,I want to be an embedded software engineer.,个人情况与情感
156,beach,n.,/biːtʃ/,海滩,Children love building sandcastles on the beach.,旅游、交通与综合高频
157,beam,n.,/biːm/,光线；梁,A beam of sunlight shone through the window.,自然、环境与航天
158,bean,n.,/biːn/,豆，豆科植物,Green beans are good for your health.,饮食、健康与运动
159,bear,v./n.,/beə(r)/,承受；忍受；熊,I can't bear the loud noise any longer.,个人情况与情感
160,beard,n.,/bɪəd/,下巴上的胡须,He decided to grow a thick beard.,人际关系与社交
161,beast,n.,/biːst/,野兽,Lions are known as the kings of beasts.,自然、环境与航天
162,beat,v./n.,/biːt/,打；敲击；打败；心跳,Our team beat their team by two points.,饮食、健康与运动
163,beautiful,adj.,/ˈbjuːtɪfl/,美丽的，漂亮的,Hangzhou is a very beautiful tourist city.,旅游、交通与综合高频
164,beauty,n.,/ˈbjuːti/,美丽；美人,She is a lady of great beauty and wisdom.,个人情况与情感
165,because,conj.,/bɪˈkɒz/,因为,He was late because of the heavy traffic.,语言、逻辑与哲学
166,become,v.,/bɪˈkʌm/,变得；成为,The weather becomes warmer and warmer in spring.,自然、环境与航天
167,bed,n.,/bed/,床,It is time to go to bed and sleep.,饮食、健康与运动
168,bedding,n.,/ˈbedɪŋ/,床上用品,We need to wash the bedding every week.,饮食、健康与运动
169,bedroom,n.,/ˈbedruːm/,卧室,My bedroom has a big window facing south.,空间定位与方向
170,bee,n.,/biː/,蜜蜂,Bees are gathering pollen from the flowers.,自然、环境与航天
171,beef,n.,/biːf/,牛肉,Would you like beef or chicken for dinner?,饮食、健康与运动
172,beer,n.,/bɪə(r)/,啤酒,He ordered a cold bottle of beer.,饮食、健康与运动
173,before,prep./adv./conj.,/bɪˈfɔː(r)/,在...以前,Wash your hands before having meals.,时间概念与序列
174,beg,v.,/beɡ/,乞求；请求,He begged his teacher for another chance.,人际关系与社交
175,begin,v.,/bɪˈɡɪn/,开始,The English exam will begin at 9 o'clock.,学校生活与教育
176,beginner,n.,/bɪˈɡɪnə(r)/,初学者,This chess course is suitable for beginners.,学校生活与教育
177,beginning,n.,/bɪˈɡɪnɪŋ/,开始；开端,"At the beginning of the term, I met him.",时间概念与序列
178,behalf,n.,/bɪˈhɑːf/,利益；代表,"On behalf of our school, I welcome you.",人际关系与社交
179,behave,v.,/bɪˈheɪv/,举止；表现,Please behave yourself at the grand party.,人际关系与社交
180,behavior,n.,/bɪˈheɪvjə(r)/,行为，举止,His behavior at school was highly praised.,学校生活与教育
181,behind,prep./adv.,/bɪˈhaɪnd/,在...后面,The sun disappeared behind the thick clouds.,空间定位与方向
182,being,n.,/ˈbiːɪŋ/,存在；生物,Human beings should protect the eco-system.,自然、环境与航天
183,belief,n.,/bɪˈliːf/,信任；信念；信仰,It is my firm belief that honesty wins.,语言、逻辑与哲学
184,believe,v.,/bɪˈliːv/,相信；认为,I believe that you can pass the exam.,个人情况与情感
185,bell,n.,/bel/,钟，铃,The school bell rang and class was over.,学校生活与教育
186,belly,n.,/ˈbeli/,肚子，腹部,He felt a sharp pain in his belly.,饮食、健康与运动
187,belong,v.,/bɪˈlɒŋ/,属于,This English dictionary belongs to me.,学校生活与教育
188,beloved,adj.,/bɪˈlʌvɪd/,心爱的，深爱的,The old book is his beloved treasure.,个人情况与情感
189,below,prep./adv.,/bɪˈləʊ/,在...下面,The temperature dropped below zero last night.,自然、环境与航天
190,belt,n.,/belt/,带；腰带,Please fasten your seat belt in the plane.,旅游、交通与综合高频
191,bench,n.,/bentʃ/,长凳；工作台,They sat on a park bench to chat.,人际关系与社交
192,bend,v./n.,/bend/,弯曲；使弯曲,The iron pipe was easy to bend.,科技、网络与现代生活
193,beneath,prep.,/bɪˈniːθ/,在...下方,They rested beneath the shade of a big tree.,空间定位与方向
194,beneficial,adj.,/ˌbenɪˈfɪʃl/,有益的,Regular physical exercise is beneficial to health.,饮食、健康与运动
195,benefit,n./v.,/ˈbenɪfɪt/,利益；使受益,The new policy will benefit local farmers.,经济、商务与财政
196,bent,adj./n.,/bent/,弯曲的；特长,The old man walked with a bent back.,饮食、健康与运动
197,berry,n.,/ˈberi/,浆果,We picked wild berries in the mountains.,自然、环境与航天
198,beside,prep.,/bɪˈsaɪd/,在...旁边,Come and sit beside me on the bench.,空间定位与方向
199,besides,prep./adv.,/bɪˈsaɪdz/,除...之外；而且,What subjects do you like besides English?,学校生活与教育
200,best,adj./adv.,/best/,最好的；最好地,He is the best student in our class.,学校生活与教育
201,best-seller,n.,/ˌbest ˈselə(r)/,畅销书,His new novel became an instant best-seller.,文学、艺术与娱乐
202,bet,v./n.,/bet/,打赌；敢说,I bet you will win the chess game.,文学、艺术与娱乐
203,betray,v.,/bɪˈtreɪ/,背叛；泄露,He would never betray his close friends.,人际关系与社交
204,better,adj./adv.,/ˈbetə(r)/,更好的；更好地,Your English essay is getting much better.,学校生活与教育
205,between,prep.,/bɪˈtwiːn/,在...之间,The library stands between the two classrooms.,空间定位与方向
206,beyond,prep.,/bɪˈjɒnd/,在...那边；超出,The beauty of the lake is beyond words.,旅游、交通与综合高频
207,bicycle,n.,/ˈbaɪsɪkl/,自行车,He goes to school by bicycle every day.,旅游、交通与综合高频
208,bid,v./n.,/bɪd/,出价；投标,They made a high bid for the old painting.,经济、商务与财政
209,big,adj.,/bɪɡ/,大的,Hangzhou is a big and modernized city.,旅游、交通与综合高频
210,bike,n.,/baɪk/,自行车,He ride his bike to the park on weekends.,旅游、交通与综合高频
211,bill,n.,/bɪl/,账单；钞票；法案,Please ask the waiter for the dinner bill.,经济、商务与财政
212,billion,num.,/ˈbɪljən/,十亿,The world population has passed 8 billion.,自然、环境与航天
213,bin,n.,/bɪn/,垃圾箱；大贮藏箱,Please throw the paper into the rubbish bin.,自然、环境与航天
214,bingo,n./int.,/ˈbɪŋɡəʊ/,宾果游戏；因成功而欢呼,Bingo! I finally solved this math problem.,学校生活与教育
215,biochemistry,n.,/ˌbaɪəʊˈkemɪstri/,生物化学,Biochemistry studies chemical processes in bodies.,学校生活与教育
216,biography,n.,/baɪˈɒɡrəfi/,传记,I love reading biographies of great scientists.,文学、艺术与娱乐
217,biological,adj.,/ˌbaɪəˈlɒdʒɪkl/,生物学的,The museum shows various biological specimens.,学校生活与教育
218,biology,n.,/baɪˈɒlədʒi/,生物学,Biology is an important high school subject.,学校生活与教育
219,bird,n.,/bɜːd/,鸟,Birds are singing happily in the trees.,自然、环境与航天
220,birth,n.,/bɜːθ/,出生；诞生,She gave birth to a healthy baby boy.,人际关系与社交
221,birthday,n.,/ˈbɜːθdeɪ/,生日,We bought a big cake for his birthday.,人际关系与社交
222,biscuit,n.,/ˈbɪskɪt/,饼干,He ate two biscuits and drank some milk.,饮食、健康与运动
223,bishop,n.,/ˈbɪʃəp/,主教；(国际象棋)象,The bishop moves diagonally on the chessboard.,文学、艺术与娱乐
224,bit,n.,/bɪt/,一点，一些,I am a bit tired after the football match.,个人情况与情感
225,bite,v./n.,/baɪt/,咬；叮,The dog doesn't bite unless it is cornered.,自然、环境与航天
226,bitter,adj.,/ˈbɪtə(r)/,苦的；痛苦的,The medicine tastes bitter but it works.,饮食、健康与运动
227,black,adj./n.,/blæk/,黑色的；黑色,He likes wearing a black coat in winter.,个人情况与社交
228,blackboard,n.,/ˈblækbɔːd/,黑板,The teacher wrote formulas on the blackboard.,学校生活与教育
229,blame,v./n.,/bleɪm/,责备；把...归咎于,Don't blame others for your own mistakes.,个人情况与情感
230,blank,adj./n.,/blæŋk/,空白的；空白,Please fill in the blanks in the text.,学校生活与教育
231,blanket,n.,/ˈblæŋkɪt/,毯子,"It's cold, so put another blanket on bed.",饮食、健康与运动
232,bleed,v.,/bliːd/,流血,His nose started to bleed because of dryness.,饮食、健康与运动
233,bless,v.,/bles/,保佑；祝福,God bless you and wish you good health.,人际关系与社交
234,blind,adj.,/blaɪnd/,瞎的；盲目的,We should help blind people cross streets.,人际关系与社交
235,block,n./v.,/blɒk/,街区；大块；阻挡,The library is just two blocks away from here.,空间定位与方向
236,blood,n.,/blʌd/,血，血液,Blood donation can save many people's lives.,饮食、健康与运动
237,blouse,n.,/blaʊz/,女衬衫,She wore a white blouse for the interview.,人际关系与社交
238,blow,v./n.,/bləʊ/,吹；刮风；打击,A cool breeze was blowing from the river.,自然、环境与航天
239,blue,adj./n.,/bluː/,蓝色的；蓝色；忧郁的,The sky is clear and blue today.,自然、环境与航天
240,board,n./v.,/bɔːd/,板；董事会；登机,It is time to board the flight to Paris.,旅游、交通与综合高频
241,boat,n/,/bəʊt/,船,They rowed a small boat on the West Lake.,旅游、交通与综合高频
242,body,n.,/ˈbɒdi/,身体；躯体；尸体,Regular running builds up a strong body.,饮食、健康与运动
243,bodybuilding,n.,/ˈbɒdɪˌbɪldɪŋ/,健美运动,He goes to the gym for bodybuilding daily.,饮食、健康与运动
244,boil,v.,/bɔɪl/,沸腾；烧开,Water boils at one hundred degrees Celsius.,科技、网络与现代生活
245,bold,adj.,/bəʊld/,大胆的；粗体的,The soldier made a bold plan to rescue them.,个人情况与情感
246,bomb,n./v.,/bɒm/,炸弹；轰炸,The old building was destroyed by a bomb.,历史、社会与政治
247,bond,n./v.,/bɒnd/,纽带；结合；债券,A strong bond exists between the twin brothers.,人际关系与社交
248,bone,n.,/bəʊn/,骨头,The dog is chewing a big beef bone.,自然、环境与航天
249,bonus,n.,/ˈbəʊnəs/,奖金；红利,Employees received a big year-end bonus.,经济、商务与财政
250,book,n./v.,/bʊk/,书；预订,You should book hotel rooms in advance.,旅游、交通与综合高频
251,bookcase,n.,/ˈbʊkkeɪs/,书柜,There are many historical books in the bookcase.,学校生活与教育
252,bookmark,n.,/ˈbʊkmɑːk/,书签,She put a beautiful bookmark into the novel.,文学、艺术与娱乐
253,bookshelf,n.,/ˈbʊkʃelf/,书架,He took a thick dictionary from the bookshelf.,学校生活与教育
254,bookstore,n.,/ˈbʊkstɔː(r)/,书店,I bought this geometry workbook in a bookstore.,学校生活与教育
255,boom,n./v.,/buːm/,繁荣；激增,The economy is experiencing a rapid boom.,经济、商务与财政
256,boot,n.,/buːt/,靴子；汽车行李箱,He wore heavy leather boots to climb mountains.,旅游、交通与综合高频
257,border,n.,/ˈbɔːdə(r)/,边界；国境,They crossed the border between the countries.,历史、社会与政治
258,bored,adj.,/bɔːd/,感到厌倦的,The students got bored with the long speech.,个人情况与情感
259,boring,adj.,/ˈbɔːrɪŋ/,乏味的，无聊的,The film was so boring that I fell asleep.,文学、艺术与娱乐
260,born,adj.,/bɔːn/,出生的，天生的,He was born in Hangzhou in the year 2010.,人际关系与社交
261,borrow,v.,/ˈbɒrəʊ/,借，借入,Can I borrow your pencil for a minute?,学校生活与教育
262,boss,n.,/bɒs/,老板，上司,The boss praised him for finishing on time.,职场、工作与生涯规划
263,botanical,adj.,/bəˈtænɪkl/,植物学的,We visited the botanical garden last Sunday.,自然、环境与航天
264,botany,n.,/ˈbɒtəni/,植物学,Botany is a major branch of biology science.,学校生活与教育
265,both,pron./adj.,/bəʊθ/,双方，两者都,Both of my parents are high school teachers.,人际关系与社交
266,bother,v.,/ˈbɒðə(r)/,打扰；烦恼,"Sorry to bother you, but can you help me?",人际关系与社交
267,bottle,n.,/ˈbɒt l/,瓶子,He drank a whole bottle of mineral water.,饮食、健康与运动
268,bottom,n.,/ˈbɒtəm/,底部,The ship sank to the bottom of the ocean.,空间定位与方向
269,bounce,v./n.,/baʊns/,弹起，反弹,The basketball bounces high on the court.,饮食、健康与运动
270,bound,adj./v.,/baʊnd/,注定的；前往...的,You are bound to succeed if you work hard.,个人情况与情感
271,boundary,n.,/ˈbaʊndri/,边界，分界线,The river forms a natural boundary here.,自然、环境与航天
